epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4141.72,1.41319,0.66118,1.11529,0.89484,0.92913,0.92964,0.61196,1.35319,0.66736,1.11204,0.000561279,0.000561279,0.000561279
69,4248.96,1.3803,0.64986,1.07667,0.89484,0.92913,0.92964,0.61196,1.35319,0.66736,1.11204,0.000544776,0.000544776,0.000544776
70,4361.04,1.29445,0.64679,1.07732,0.85599,0.92188,0.90884,0.58567,1.36676,0.67116,1.11269,0.000528272,0.000528272,0.000528272
71,4482.63,1.30223,0.63761,1.11726,0.85155,0.92205,0.94673,0.59208,1.37382,0.69333,1.10791,0.000511769,0.000511769,0.000511769
72,4545.82,1.25375,0.62179,1.07722,0.85155,0.92205,0.94673,0.59208,1.37382,0.69333,1.10791,0.000495266,0.000495266,0.000495266
73,4608.28,1.31319,0.65472,1.07605,0.86108,0.91706,0.95777,0.58798,1.4146,0.72106,1.12498,0.000478762,0.000478762,0.000478762
74,4724.11,1.2684,0.64135,1.08147,0.86108,0.91706,0.95777,0.58798,1.4146,0.72106,1.12498,0.000462259,0.000462259,0.000462259
75,4850.41,1.24995,0.62956,1.11872,0.96501,0.90944,0.9663,0.62448,1.3906,0.67659,1.11596,0.000445756,0.000445756,0.000445756
76,4974.09,1.26905,0.63646,1.03871,0.95204,0.93608,0.97011,0.66699,1.28083,0.59291,1.07954,0.000429253,0.000429253,0.000429253
77,5097.85,1.27331,0.64601,1.06474,0.95204,0.93608,0.97011,0.66699,1.28083,0.59291,1.07954,0.000412749,0.000412749,0.000412749
78,5211.69,1.22195,0.59936,1.05493,0.95408,0.95312,0.96548,0.68869,1.2012,0.56216,1.04131,0.000396246,0.000396246,0.000396246
79,5315.12,1.25152,0.63719,1.07891,0.96618,0.95312,0.97833,0.66959,1.17512,0.55637,1.02468,0.000379743,0.000379743,0.000379743
